"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2019","6.94","6.68","6.97","6.64","14.20M","4.05%"
"Jan 28, 2019","6.67","6.56","6.68","6.48","5.11M","0.30%"
"Jan 25, 2019","6.65","6.65","6.78","6.60","6.73M","1.06%"
"Jan 24, 2019","6.58","6.47","6.75","6.47","5.92M","0.46%"
"Jan 23, 2019","6.55","6.63","6.79","6.47","5.69M","-0.30%"
"Jan 22, 2019","6.57","6.63","6.67","6.51","6.38M","-2.09%"
"Jan 18, 2019","6.71","6.89","6.91","6.68","9.24M","-1.47%"
"Jan 17, 2019","6.81","6.70","6.88","6.53","8.51M","1.49%"
"Jan 16, 2019","6.71","6.80","6.90","6.68","6.94M","-1.61%"
"Jan 15, 2019","6.82","6.85","7.07","6.75","12.63M","0.29%"
"Jan 14, 2019","6.80","6.51","7.15","6.37","19.45M","3.19%"
"Jan 11, 2019","6.59","6.50","6.62","6.48","6.90M","-1.05%"
"Jan 10, 2019","6.66","6.63","6.73","6.41","11.22M","0.45%"
"Jan 09, 2019","6.63","6.41","6.69","6.35","11.49M","3.59%"
"Jan 08, 2019","6.40","6.57","6.58","6.17","9.60M","-1.54%"
"Jan 07, 2019","6.50","6.41","6.58","6.31","9.71M","2.20%"
"Jan 04, 2019","6.36","6.19","6.40","6.13","9.41M","5.12%"
"Jan 03, 2019","6.05","6.10","6.15","6.02","7.56M","-2.42%"
"Jan 02, 2019","6.20","6.13","6.24","6.00","8.82M","-2.67%"
"Dec 31, 2018","6.37","6.56","6.57","6.21","8.67M","-1.55%"
